name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;604;0;535;3075;1808;3075;1854;0
header;212;120;212;157;1836;157;1836;120
A;1010;179;1010;207;1032;207;1032;179
D;1817;548;1817;562;1839;562;1839;548
A;1376;617;1376;618;1378;618;1378;617
A;1707;739;1707;744;1713;744;1713;739
B;1007;856;1007;883;1029;883;1029;856
C;975;1413;975;1432;991;1432;991;1413
A;1617;1426;1617;1438;1625;1438;1625;1426
B;1680;1499;1680;1514;1690;1514;1690;1499
B;674;1505;674;1523;689;1523;689;1505
C;1004;1516;1004;1545;1025;1545;1025;1516
B;669;1551;669;1569;683;1569;683;1551
A;1350;1678;1350;1694;1360;1694;1360;1678
A;1607;1771;1607;1786;1616;1786;1616;1771
A;861;1793;861;1805;869;1805;869;1793
B;674;1961;674;1981;689;1981;689;1961
D;1002;2157;1002;2184;1023;2184;1023;2157
B;1379;2363;1379;2379;1389;2379;1389;2363
A;723;2653;723;2670;732;2670;732;2653
A;1507;2654;1507;2669;1518;2669;1518;2654
B;901;2726;901;2741;912;2741;912;2726
B;1603;2759;1603;2775;1614;2775;1614;2759
