name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;207;0;334;3077;1180;3077;1041;0
header;214;123;214;161;1838;161;1838;123
A;1017;185;1017;212;1040;212;1040;185
A;317;209;317;211;319;211;319;209
B;1022;852;1022;879;1042;879;1042;852
C;1020;1518;1020;1546;1041;1546;1041;1518
B;516;1786;516;1805;530;1805;530;1786
D;1030;2194;1030;2222;1050;2222;1050;2194
A;740;2433;740;2445;747;2445;747;2433
A;1067;2463;1067;2487;1081;2487;1081;2463
B;675;2797;675;2813;696;2813;696;2797
B;812;2832;812;2847;833;2847;833;2832
A;494;2936;494;2936;495;2936;495;2936
